taxi_id,trip_start_timestamp,trip_seconds,trip_miles,trip_total
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 18:45:00,1997,18.03,54.3
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 21:00:00,1862,13.56,48.3
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 21:45:00,539,2.23,10.0
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 22:15:00,186,0.68,8.5
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 10:30:00,935,2.04,11.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 11:00:00,75,0.05,3.5
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 11:30:00,2266,16.12,50.7
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 13:15:00,823,1.93,9.5
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 13:30:00,452,0.85,8.75
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 13:45:00,463,1.24,9.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 14:00:00,200,0.59,4.75
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 14:00:00,65,0.18,3.5
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 14:00:00,787,1.56,10.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 14:45:00,360,0.86,6.0
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 15:00:00,931,3.22,15.94
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 15:45:00,240,0.53,5.0
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-30 15:45:00,296,0.52,5.25
931aa6008e311c668b4473d466a86b0aa56ddedf7447da2d99e039339d2a9676741c2a5487ecc42b1d90580b1a0feab79a46ceeef6202d3eb7313fa5a6cb2192,2017-03-31 11:00:00,2040,17.5,49.75
931aa6008e311c668b4473d466a86b0aa56ddedf7447da2d99e039339d2a9676741c2a5487ecc42b1d90580b1a0feab79a46ceeef6202d3eb7313fa5a6cb2192,2017-03-31 15:45:00,2760,14.8,51.6
931aa6008e311c668b4473d466a86b0aa56ddedf7447da2d99e039339d2a9676741c2a5487ecc42b1d90580b1a0feab79a46ceeef6202d3eb7313fa5a6cb2192,2017-03-31 17:30:00,900,3.8,15.9
931aa6008e311c668b4473d466a86b0aa56ddedf7447da2d99e039339d2a9676741c2a5487ecc42b1d90580b1a0feab79a46ceeef6202d3eb7313fa5a6cb2192,2017-03-31 18:15:00,360,0.9,5.75
931aa6008e311c668b4473d466a86b0aa56ddedf7447da2d99e039339d2a9676741c2a5487ecc42b1d90580b1a0feab79a46ceeef6202d3eb7313fa5a6cb2192,2017-03-31 18:45:00,240,1.1,6.0
931aa6008e311c668b4473d466a86b0aa56ddedf7447da2d99e039339d2a9676741c2a5487ecc42b1d90580b1a0feab79a46ceeef6202d3eb7313fa5a6cb2192,2017-03-31 18:45:00,840,2.3,11.5
35a442cf7913c9ddfbcd75d97179667ee556898e8d8b55dc8ee989778501bbc217188081eb2a3c2ac4c4e321a38aec14bbd08e4b61938f6a332676c9a4638237,2017-03-31 15:00:00,2760,9.6,42.2
35a442cf7913c9ddfbcd75d97179667ee556898e8d8b55dc8ee989778501bbc217188081eb2a3c2ac4c4e321a38aec14bbd08e4b61938f6a332676c9a4638237,2017-03-31 19:15:00,2100,12.2,47.6
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-07 11:00:00,1860,7.3,23.25
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-07 12:00:00,1080,4.3,18.0
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-07 12:15:00,1020,2.7,15.0
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-07 13:30:00,600,2.9,11.5
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 15:00:00,240,0.6,5.5
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 15:30:00,780,3.2,14.25
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 16:00:00,1920,4.3,20.0
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 17:15:00,1020,3.2,15.75
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 17:45:00,0,0.1,3.5
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 18:30:00,1200,9.5,31.4
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 20:15:00,1500,13.0,50.5
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-06 21:00:00,900,3.6,13.0
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 06:45:00,1740,17.5,52.4
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 10:30:00,2400,20.0,53.75
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 15:15:00,600,5.6,15.75
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 17:30:00,3120,11.9,71.0
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 17:30:00,0,0.0,7.75
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 20:45:00,1200,10.4,39.8
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-07 21:45:00,1560,17.4,59.25
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 07:30:00,240,1.1,9.75
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 08:45:00,360,1.2,8.0
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 09:45:00,360,0.9,9.5
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 11:00:00,1380,14.3,36.0
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 15:00:00,480,3.5,16.25
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 16:00:00,1560,10.4,48.0
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 19:45:00,1800,16.7,47.5
89809c65c8627c6e567d1db60e99f55b870d01fdc191b749b4750bae30729274eaddc53bd75f7c43678a64f5e9f8e6d1772c17418278aeed5096a9c689a4cbce,2017-04-08 20:15:00,840,1.9,11.5
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 11:00:00,1860,18.39,50.0
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 13:15:00,3360,18.19,51.75
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 16:00:00,540,0.93,6.75
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 16:15:00,600,2.22,9.25
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 16:30:00,540,1.39,9.0
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 16:45:00,540,0.35,6.25
e27f2d1a318a4f3a55ca85c4bbf97274753c493d473e21972856ba66c38f01d4a2ca65882e0cce79d51f2ddc452a8b41dc0eab281a524db023a9722ebf124e37,2017-04-06 17:00:00,1500,0.67,11.5
